CRC32 IDENTIFIKASI
1085DD16 WORM.BADASS
10C08823 WORM.LOVGATE.W
11278EE4 WORM.ADRENALINE
11578886 CSW
118701D3 WORM.RODAL.A
1187C59B BDS.1060.AL
1237C3C1 TH.ANNOYER
123CF8E8 WORM.DREW.A
12494DA6 WORM.VB.BA
12661494 BDS.CLI.UN.6
12C31132 WORM.LUNOR.A
12FDC721 TH.AF.20
133CEF62 TH.ADUT
134E43F8 WORM.BRONTOK.H
15CA7471 TH.BAGLET.A
15DA8F43 TH.SMALL.VB.77824
15F00C9B TH.BSOD
1611CDED WORM.MYDOOM.AD
16A69630 WGEN.SKYPEWORM
16F750FC WGEN.KIT.PWG
173A44FE TH.KUAP
174D3F73 TH.CONTHOL
17D5AF6E TH.ASNIFF.033
18382639 WORM.MYDOOM.AE
183889A6 WORM.VIKING.N
188442D9 WORM.APPFLET.A
18B8865A WORM.DARBY.G2
197A227C WORM.VB.BI
198A3AEE WORM.CHICKEN
19B041F5 TH.ATENDO
19D8BFD2 TH.VB.LT.1
1B1C8FFC TH.COLMATCH
1B464C53 TH.EVILTOOL
1B9181FA WORM.LEGEMIR
1BCAE0BB WORM.AILIS.A
1BDE3A03 WORM.GAGA.A
1C140D67 WORM.AGENT.ADL
1CA6038 TH.CLICKME
1CABA1CA TH.ADIETH
1CBAE18C WORM.LISTAS
1CE189F0 WORM.VB.BE
1CE6DFA5 WORM.NAVUP
1D107794 TH.APAGAR
1D16F0B2 WORM.BOLGI
1DB4C96C WORM.FUNNYTAV.A
1DC8B613 WORM.ANIMAN
1DE511A0 WORM.NOPLE
1DEBBDF7 WORM.PLESA.A
1E082B1E WORM.GIFT.B
1E0E8D7F WORM.VIKING.D
1E32B2E W32.PLUTOR.B
1E9BAAC1 TH.ANSPY
1EEA9E7D W32.YOSA.A
1F318629 WORM.VB.BW.8
1FEE7C2 TH.BEFAST
2036232B WORM.SORIW
207F63DC WORM.VB.B
20C2C462 WORM.BRONTOK.E
20C88AE7 WORM.LOVGATE.F
20E8D2F2 ANGANTIVIRUS
20F0504D TH.NONAME.A
21B6ECA1 TH.ANONEBOMBER.35
21E2266F WORM.MYDOOM.AP
21F06DD1 WORM.VB.AU
226CE133 TH.FOTOEXE.A
228EDE27 EXPLOIT.MS05-039.A
22A2D45F TH.TSK.N
2370A29A TH.MAV.39
23A3DBCF TH.BUNGA
246C02E4 TH.AUTOACCEPTER
24AFD290 W32.XORALA.A
24B33093 TH.AFFC
24ED0E87 WORM.VB.A
250C66ED TH.ICH.1
2609FE7E BDS.VB.AYT
26B01564 VGEN.SBVM
2771517C TH.AZAK
27F8B2C0 SCRSVR
291BD0F7 WORM.ANTINNY.AE
2965D47B WORM.ANTINNY.AG
2A753D43 WORM.YAHLOVER.A
2AD6994E TH.CAHYNA
2B2FC6B TH.DLDR.SMALL.DDS
2CB78064 WORM.WUN
2D5C2952 TH.BLACKHOLE
2E8A8750 TH.AGGREVATOR
2EB523F6 WORM.FOBOT
2FA116C3 WORM.VB.GIMA.A
3080FC37 VGEN.THCK-FP
3088C3B WORM.VB.AZ.1
31065EE3 WORM.VB.BZ.1
31427976 WGEN.VBS.INDRA
315A5F02 WORM.ANTITES
316C2031 WORM.PESIN.D
31D23C78 TH.AGENT.FVL
322255DC VGEN.THCK-TC
32E0098E TH.ARMOR.1
32FA4F7 PENDEKAR BLANK 1
3391C4A X-PLUGIN
33F59289 WORM.MYDOOM.AH
348EACDF TH.COPUPER
34C18DA0 WORM.VB.BY.4
353C6898 TH.VB.NGM
35620D35 WORM.TESTWORM
3621F990 TH.CHICONS
36BA9F02 WORM.DOLLY
370039DC TH.CRYPT.J
378007DC WORM.ALTICE
37AE1CBD TH.VB.II
37B774D5 VGEN.SWLABS.MACRO
37F2C04D TH.CRAZYCD
394D145F WIN32 BRONTOK
39FD1B5D WORM.DELF.AFK
3A372755 WORM.VB.H
3A801AAA WORM.STEFAN.A
3AC0C027 TH.DROP.SHELLREQ.2
3AC505A7 TH.COLORBUG
3B4A9853 WORM.SHOLTA
3BB79613 WORM.VIKING.R
3C580EB9 SYSTEM32.SYS.VBS
3C6A366A TH.AGENT.ABT.3
3D14503B WIN32 AGENT
3D561F06 TH.ANAME
3D73F545 WORM.DELF.CD
3DB0B107 TH.COLORER
3DDD7447 WORM.TOUSH
3E424AC5 TH.CRYPT.C
3E4A78AC WORM.ANEL
3E4F06C5 AUTORUN ANGANTI
3E509437 WORM.WILAB.A
3E93BBF0 WORM.ANTINNY.AD
3EBF42AC WORM.RBOT.210994
3ED29B7B TH.CRASH
3EE0179D TH.AGENT.20480
3F0FB13 TH.BANDEJA
3F18C707 WORM.SOHANNAD.NAK
3F42998A WORM.VB.EJ
3F980FDF TH.JOINER.CM
3FF5C979 AUTORUN KINKEN
40E087D8 THE GREATLESS
40F5D3E2 WORM.VB.BS.13
41EED650 WORM.DAMEWAR
4228AA77 TH.VDX
423F3826 RECYCLE VBS
4249FB5A WORM.VB.BS.12
424B2F4C TH.CROWL
42A7A861 TH.AGENT.CGS
436750A1 WORM.VB.JM.14
4397FA0E WORM.VB.DB
43A4BD35 TH.ABSTURZ
43BB4553 SPYWARE.MWS.381012
44299E9E TH.AUTHSTEALER
443CD3B1 WORM.BABUIN.A
44928649 SPEEDY.BAT
45868C4 TH.VB.HG.3
45A7CAEF AUTORUN-X
4644BA47 W32.VARWORM
465A908A WORM.VB.BR
4E715346 BURMECIA
5005B72E z32.dll.vbs WORM
502D7D01 tati_love-txt
5071976B UPX
575230A ALEVIR
64309E45 AITES
64AA4F62 PENDEKAR BLANK
